Dates,EM Index,GOLDROLL,IND1BJB Index,IND1BRX Index,IND1BTY Index,IND1CEE1 Index,IND1CJE1 Index,OILROLL,SGBVRZ1 Index,SGIXBGB Index,SILVERROLL,SPROLL
2018-11-05,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-06,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-07,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-08,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-09,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-12,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-13,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-14,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-15,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-16,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-19,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-20,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-21,0.019413704,0.035591032,0.12942323,0.20899874,0.12942256,0.055005163,0.056622487,0.011324899,0.042062152,0.12942217,0.010924203,0.1717897
2018-11-26,0.019798132,0.03629574,0.13198547,0.21313636,0.13198476,0.04487528,0.05774362,0.011549052,0.034315854,0.13198437,0.011140521,0.17519088
2018-11-27,0.020197945,0.037028756,0.13465132,0.21744122,0.13465056,0.03433636,0.05890987,0.01178241,0.026256679,0.13465008,0.011365515,0.17872925
2018-11-28,0.020614311,0.037791986,0.13742703,0.2219236,0.1374263,0.02336295,0.06012419,0.012025254,0.017865118,0.13742581,0.01159978,0.18241367
2018-11-29,0.021048214,0.03858757,0.14031951,0.22659455,0.1403188,0.011927592,0.061389737,0.012278397,0.00912047,0.14031824,0.011843964,0.18625297
2018-11-30,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-03,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-04,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-06,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-07,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-10,0.021500736,0.039417263,0.14333643,0.2314665,0.14333567,4.351171e-07,0.06270972,0.012542387,-2.547027e-07,0.14333513,0.012098574,0.19025743
2018-12-11,0.021500736,0.039417263,0.14333643,0.2314665,0.14333567,4.351171e-07,0.06270972,0.012542387,-2.547027e-07,0.14333513,0.012098574,0.19025743
2018-12-12,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-13,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-14,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-17,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-18,0.021500789,0.039417237,0.14333649,0.23146658,0.14333566,3.634822e-07,0.06270971,0.012542376,-3.9266683e-07,0.14333515,0.012098606,0.1902575
2018-12-19,0.020564804,0.037701126,0.13709643,0.22138968,0.13709569,0.011653599,0.059979666,0.018107576,0.025769535,0.1370952,0.011571894,0.1819748
2018-12-20,0.019706842,0.036128327,0.13137706,0.21215378,0.13137634,0.022334345,0.05747737,0.023208413,0.04938936,0.1313759,0.011089121,0.17438321
2018-12-21,0.018917663,0.03468154,0.12611559,0.20365755,0.12611495,0.032159746,0.055175576,0.027900834,0.0711173,0.1261146,0.010645032,0.16739957
2018-12-27,0.01818921,0.033346068,0.121259496,0.1958156,0.121259026,0.041228443,0.053051103,0.03223174,0.09117193,0.12125845,0.010235131,0.16095378
2018-12-28,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-04,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-07,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-08,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-09,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-10,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-11,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-15,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-16,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-17,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-18,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-22,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-23,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-24,0.01751471,0.03210966,0.11676355,0.18855524,0.116762884,0.04962469,0.05108397,0.036241658,0.10973952,0.11676252,0.00985567,0.15498598
2019-01-25,0.017549329,0.03217316,0.116994135,0.18892756,0.11699359,0.0641094,0.051184878,0.03631319,0.095569514,0.11699317,0.007900085,0.15529193
2019-01-28,0.017584065,0.032236774,0.11722567,0.18930152,0.11722501,0.0786514,0.05128618,0.036385067,0.08134346,0.117224656,0.005936781,0.15559939
2019-01-29,0.017618934,0.032300644,0.11745805,0.1896769,0.11745753,0.09325114,0.05138794,0.0364572,0.06706105,0.117457055,0.003965637,0.15590796
2019-01-30,0.017653987,0.03236487,0.117691495,0.19005378,0.11769082,0.10790886,0.05149002,0.036529705,0.052721716,0.11769032,0.0019867176,0.15621768
2019-01-31,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-01,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-04,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-05,0.017689176,0.032429315,0.117925785,0.19043204,0.11792501,0.12262499,0.051592574,0.036602404,0.038325444,0.117924705,-8.323589e-08,0.15652868
2019-02-06,0.017689176,0.032429315,0.117925785,0.19043204,0.11792501,0.12262499,0.051592574,0.036602404,0.038325444,0.117924705,-8.323589e-08,0.15652868
2019-02-07,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-08,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-12,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-13,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-14,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
2019-02-15,0.01768903,0.032429338,0.117925756,0.190432,0.11792515,0.122624956,0.051592447,0.036602464,0.038325567,0.11792476,-7.629958e-08,0.15652867
