Dates,SGBVRVG1 Index,SGBVRZ1  Index,SGBVRES1 Index,SGBVRNK1 Index,SGBVRGX1 Index,SGIXTY10 Index,SGIXRX Index,SGIXGILT Index,SGIXJB10 Index,SGICCLSR Index,SGICGCSR Index,SGICSISR Index,NDUEEGF Index
2000-07-27,0.961832164,0.989195608,0.976088169,0.872750176,0.957942386,1.02458303,1.007334095,1.006519757,1.017973037,1.162395973,1.005622779,0.977766726,0.953657991
2000-07-28,0.949865639,0.984776254,0.95491593,0.854838178,0.950321142,1.022981421,1.00552105,0.999070485,1.019602233,1.167019851,1.003506869,0.97699196,0.936922962
2000-07-31,0.966319852,0.98322567,0.959584391,0.861351069,0.963840227,1.023301743,1.005923342,0.999070485,1.020009903,1.143056063,0.999973477,0.983949855,0.939070773
2000-08-01,0.959775307,0.990823343,0.965252489,0.876005591,0.953502247,1.026339276,1.009946264,1.001268583,1.019397657,1.153566354,0.999973477,0.98201794,0.943627414
2000-08-02,0.959214346,0.993459715,0.968586705,0.878176555,0.94939332,1.028104359,1.008533691,0.999266326,1.02000842,1.165339179,0.998561889,0.981050732,0.944350809
2000-08-03,0.936963537,0.980434523,0.974588016,0.852667214,0.933090769,1.02954912,1.007625348,0.999666778,1.020212996,1.176267608,0.986909652,0.977959167,0.940114848
2000-08-04,0.950052626,0.990048051,0.981423054,0.853753727,0.935741689,1.032606535,1.007121117,0.995267659,1.021742869,1.216628101,0.983732841,0.9669425,0.942352152
2000-08-07,0.95584858,0.991909131,0.991092491,0.868950474,0.950321142,1.029379018,1.008631988,0.999050024,1.021130623,1.189721106,0.985498064,0.97196848,0.93442464
2000-08-08,0.960897229,0.991210989,0.99475992,0.859722331,0.951779148,1.032275167,1.007321353,0.999849465,1.020006938,1.198571023,0.984086475,0.965203026,0.933753449
2000-08-09,0.969872605,0.996405636,0.987591668,0.871121438,0.964237865,1.032920229,1.009436573,0.999349632,1.016334947,1.235923355,0.979141495,0.962111461,0.94165113
2000-08-10,0.974920611,0.99314922,0.983090511,0.867321736,0.968412912,1.034535092,1.01115314,0.998249122,1.014302529,1.26813624,0.980202396,0.964235819,0.946864047
2000-08-11,0.97080754,0.991598635,0.985924212,0.879263068,0.974311058,1.030494621,1.009634988,1.002243404,1.016939781,1.25631064,0.989735777,0.968294591,0.947647103
2000-08-14,0.979408299,0.998033844,0.998927864,0.875463366,0.97391342,1.0319438,1.010241157,0.997531525,1.016634399,1.273819673,0.987263286,0.961531637,0.953039004
2000-08-15,0.974733624,1.007569748,0.996760589,0.882518483,0.970202436,1.030169881,1.005593863,0.99404146,1.014194312,1.269975236,0.987263286,0.956505657,0.954359013
2000-08-16,0.980717208,1.016097961,0.994593313,0.888489149,0.974973788,1.028881967,1.005693981,0.99404146,1.012876427,1.272110583,0.996796666,0.954766183,0.963188903
2000-08-17,0.974546637,1.015632691,1.002595293,0.873834627,0.967153877,1.029524819,1.005996155,0.992549267,1.014800627,1.284496407,0.997854621,0.956118274,0.965441122
2000-08-18,0.969685618,1.017493771,1.000761927,0.884689447,0.960593002,1.031937173,1.007203032,0.994137919,1.012771174,1.300722608,0.99467781,0.950514969,0.956894623
2000-08-21,0.971742475,1.017881417,1.004762569,0.870579212,0.956020316,1.031130846,1.001865835,0.990558703,1.012062571,1.310969025,0.988674875,0.953219151,0.953486464
